Task,Priority,Tags,Created Date,Due Date,Alarm
Schedule car service,Low,Personal,2023-05-31,2024-09-24,False
Write report,Medium,Work,2024-04-06,2024-08-20,False
Prepare presentation,Medium,Work,2024-05-03,2024-08-14,True
Read book,High,Personal,2024-07-03,2024-11-14,True
Work on project,Medium,Personal,2023-05-10,2024-03-05,True
Complete meeting,Medium,Work,2024-05-29,2024-10-05,True
Renew library membership,Low,Work,2023-11-20,2024-08-11,False
Visit doctor,Medium,Personal,2023-06-27,2024-06-25,False
Book flight tickets,Medium,Personal,2023-09-18,2024-07-07,False
Work on project,High,Personal,2024-02-05,2024-11-20,False
Work on project,Medium,Work,2023-01-14,2023-08-29,True
Renew library membership,Medium,Work,2024-02-16,2024-06-29,False
Visit doctor,Medium,Personal,2023-09-07,2024-01-07,False
Take stationary,High,Personal,2023-04-06,2023-05-15,True
Book flight tickets,Low,Work,2023-09-06,2024-05-08,False
Go to bank,Medium,Personal,2024-04-01,2024-12-17,True
Plan weekend trip,Low,Personal,2024-03-26,2024-11-24,False
Call plumber,Low,Work,2023-07-16,2024-05-23,False
Go to school,Medium,Personal,2023-10-26,2024-05-21,True
Attend seminar,High,Work,2023-08-17,2024-07-21,False
Book flight tickets,High,Personal,2023-07-04,2024-01-26,True
Complete meeting,Medium,Personal,2023-07-04,2023-08-10,True
Attend seminar,Medium,Personal,2023-05-13,2023-08-22,True
Organize desk,High,Personal,2023-04-30,2023-11-20,False
Book flight tickets,Low,Work,2023-05-25,2023-05-30,True
Take groceries,Low,Work,2023-07-12,2023-12-17,True
Buy birthday gift,Low,Work,2024-01-04,2024-07-16,True
Prepare presentation,Medium,Personal,2023-03-05,2024-01-20,True
Visit doctor,Low,Personal,2024-08-29,2024-09-19,False
Send emails,Medium,Work,2023-09-17,2024-04-25,True
Organize desk,High,Personal,2024-03-16,2024-11-11,True
Write report,Low,Personal,2023-11-30,2024-12-21,True
Take groceries,Low,Personal,2024-06-15,2024-08-29,False
Go to bank,Low,Personal,2023-02-21,2023-12-03,True
Go to school,Low,Work,2023-11-18,2024-03-16,False
Buy birthday gift,Low,Work,2023-09-12,2024-12-20,False
Read book,Medium,Personal,2023-09-19,2024-10-07,True
Attend seminar,High,Personal,2023-08-07,2024-04-24,True
Join gym session,Low,Work,2023-06-20,2024-04-08,False
Organize desk,High,Work,2023-08-24,2024-06-16,False
Go to school,Low,Work,2024-04-01,2024-06-05,True
Go to school,High,Work,2024-05-27,2024-12-30,True
Read book,Medium,Work,2023-01-15,2024-09-29,False
Attend seminar,Low,Work,2024-01-30,2024-06-12,True
Write report,Low,Work,2023-08-18,2024-05-14,True
Take stationary,Low,Work,2023-02-02,2023-09-30,False
Work on project,High,Work,2023-04-20,2023-08-19,True
Prepare presentation,Low,Work,2024-01-06,2024-04-10,True
Buy birthday gift,Medium,Work,2023-07-10,2024-10-22,False
Book flight tickets,High,Work,2023-01-27,2023-07-04,False
Send emails,High,Work,2023-12-04,2024-10-18,False
Visit doctor,High,Work,2023-06-17,2024-08-01,False
Take stationary,High,Work,2024-06-17,2024-11-25,True
Renew library membership,Low,Personal,2023-06-09,2024-12-24,False
Plan weekend trip,Medium,Work,2024-01-31,2024-05-27,True
Take groceries,Medium,Work,2024-09-06,2024-10-21,False
Renew library membership,High,Work,2024-05-31,2024-12-01,True
Go to school,High,Personal,2023-07-02,2024-06-17,True
Go to school,High,Personal,2023-01-19,2024-03-12,False
Schedule car service,High,Work,2023-03-09,2024-06-05,True
Complete meeting,High,Work,2023-01-27,2024-02-14,False
Buy birthday gift,High,Personal,2023-10-23,2024-02-04,False
Call plumber,Medium,Work,2024-06-24,2024-10-16,True
Read book,Medium,Work,2023-05-02,2024-01-23,True
Prepare presentation,Low,Personal,2024-08-28,2024-10-28,False
Renew library membership,Medium,Personal,2024-10-07,2024-12-04,True
Book flight tickets,Low,Personal,2023-02-10,2024-10-23,False
Prepare presentation,Medium,Personal,2023-09-01,2023-11-10,False
Go to bank,Medium,Work,2023-02-22,2023-06-22,True
Send emails,Low,Personal,2023-01-05,2024-09-08,True
Complete meeting,High,Work,2023-06-09,2023-07-15,True
Plan weekend trip,Low,Work,2023-08-10,2023-08-31,True
Plan weekend trip,High,Personal,2024-07-12,2024-08-28,False
Go to school,Medium,Work,2023-10-19,2024-04-08,False
Schedule car service,Low,Personal,2024-04-01,2024-12-01,True
Plan weekend trip,High,Personal,2023-03-07,2023-09-30,False
Call plumber,High,Personal,2023-05-05,2024-03-25,True
Plan weekend trip,Medium,Personal,2024-04-18,2024-11-14,False
Complete meeting,High,Personal,2024-09-02,2024-10-08,True
Complete meeting,Low,Personal,2023-10-06,2024-10-15,False
Attend seminar,Medium,Work,2023-05-10,2023-10-17,False
Go to bank,Medium,Personal,2023-06-02,2024-12-17,False
Call plumber,Low,Personal,2023-03-31,2024-03-09,False
Organize desk,Medium,Personal,2023-04-23,2024-07-15,False
Go to bank,Low,Work,2023-10-23,2024-11-25,False
Go to bank,Medium,Personal,2023-05-20,2024-08-20,False
Complete meeting,High,Work,2023-08-15,2024-03-20,True
Book flight tickets,Low,Work,2023-08-20,2024-11-29,True
Plan weekend trip,Medium,Work,2023-09-01,2023-09-21,False
Renew library membership,Medium,Personal,2024-05-17,2024-11-29,False
Complete meeting,Medium,Work,2023-07-11,2024-03-27,False
Plan weekend trip,Low,Personal,2024-01-02,2024-01-15,False
Take stationary,High,Work,2023-01-22,2024-10-17,True
Book flight tickets,Medium,Personal,2023-02-22,2024-02-03,False
Call plumber,Medium,Personal,2023-07-16,2024-05-29,True
Renew library membership,Low,Personal,2023-12-19,2024-11-14,True
Read book,Low,Work,2024-01-20,2024-02-18,True
Plan weekend trip,High,Personal,2023-06-07,2024-03-28,False
Book flight tickets,Medium,Personal,2023-01-25,2023-04-25,True
Attend seminar,Low,Work,2024-04-29,2024-06-05,False
Read book,Low,Personal,2023-09-17,2024-05-21,True
Prepare presentation,Medium,Work,2023-03-22,2023-08-09,False
Write report,Medium,Work,2023-02-20,2023-12-06,True
Go to bank,Medium,Personal,2023-09-09,2024-08-19,False
Buy birthday gift,High,Personal,2023-07-15,2023-07-21,False
Go to bank,Low,Personal,2023-01-10,2023-02-20,True
Go to bank,Low,Work,2023-08-03,2024-08-25,True
Work on project,Medium,Personal,2023-08-08,2024-12-17,True
Organize desk,Low,Personal,2024-03-03,2024-10-19,False
Send emails,Low,Personal,2024-04-10,2024-11-11,True
Send emails,High,Personal,2023-12-06,2024-03-29,False
Schedule car service,High,Work,2023-08-09,2024-02-17,True
Go to bank,Medium,Personal,2023-02-25,2023-07-21,False
Attend seminar,High,Personal,2024-08-19,2024-11-06,True
Take stationary,High,Work,2023-10-21,2024-07-15,True
Prepare presentation,Medium,Work,2023-05-08,2023-12-05,True
Send emails,Medium,Work,2023-10-10,2024-07-02,False
Go to school,High,Work,2023-04-23,2023-07-26,False
Go to school,High,Personal,2024-01-06,2024-12-07,False
Take groceries,Low,Work,2023-12-03,2024-06-03,True
Prepare presentation,Medium,Work,2023-10-06,2024-12-18,True
Complete meeting,High,Personal,2023-01-16,2024-08-25,True
Book flight tickets,Medium,Personal,2024-02-16,2024-11-17,False
Call plumber,Low,Work,2023-03-25,2023-05-27,False
Prepare presentation,High,Personal,2024-01-01,2024-07-25,False
Visit doctor,Medium,Work,2024-06-01,2024-11-11,True
Renew library membership,Low,Personal,2023-01-16,2024-10-16,False
Call plumber,Medium,Personal,2024-07-21,2024-11-25,False
Read book,High,Personal,2023-08-14,2024-10-12,True
Organize desk,Low,Personal,2023-08-21,2024-11-09,False
Attend seminar,Low,Personal,2023-03-16,2023-11-21,True
Prepare presentation,Low,Work,2024-03-27,2024-04-20,False
Call plumber,Medium,Personal,2023-07-04,2024-06-20,False
Go to bank,Low,Work,2023-08-27,2023-11-30,False
Go to bank,High,Personal,2023-08-05,2024-12-25,False
Renew library membership,High,Work,2023-06-26,2023-10-29,False
Take groceries,Low,Work,2023-03-20,2024-03-08,False
Complete meeting,High,Personal,2023-01-13,2024-03-06,True
Go to school,Low,Personal,2024-05-24,2024-07-20,False
Prepare presentation,Medium,Work,2023-12-18,2024-08-31,False
Read book,Low,Personal,2024-07-19,2024-12-29,False
Buy birthday gift,High,Work,2023-01-06,2024-04-19,True
Attend seminar,High,Work,2023-05-11,2024-04-17,True
Write report,Low,Personal,2023-10-02,2023-12-27,True
Plan weekend trip,Medium,Work,2023-06-28,2023-08-20,True
Write report,Low,Work,2024-08-18,2024-12-10,False
Attend seminar,High,Personal,2023-06-03,2024-11-22,True
Organize desk,Medium,Work,2023-08-08,2024-12-20,True
Work on project,Medium,Personal,2023-01-22,2023-06-10,False
Book flight tickets,Low,Personal,2023-02-17,2023-08-16,True
Organize desk,Medium,Work,2023-10-21,2024-12-06,False
Call plumber,Medium,Work,2023-05-30,2023-08-06,True
Write report,Low,Personal,2023-05-14,2023-08-03,False
Schedule car service,Low,Work,2023-01-25,2024-12-28,False
Schedule car service,High,Personal,2023-05-30,2024-02-09,False
Prepare presentation,Low,Personal,2024-05-28,2024-10-31,False
Send emails,Medium,Personal,2023-08-02,2023-12-15,False
Buy birthday gift,Medium,Personal,2024-05-24,2024-10-10,True
Buy birthday gift,Low,Personal,2024-01-04,2024-08-07,True
Read book,High,Personal,2023-09-10,2024-10-11,True
Call plumber,Low,Personal,2024-04-24,2024-08-11,False
Write report,High,Work,2024-03-13,2024-07-24,True
Plan weekend trip,High,Work,2023-02-02,2023-10-28,False
Take groceries,High,Personal,2023-01-24,2023-04-22,True
Organize desk,High,Personal,2023-10-25,2024-01-08,False
Complete meeting,Medium,Work,2023-08-17,2024-06-07,True
Join gym session,Low,Work,2023-08-18,2024-02-18,False
Work on project,Medium,Personal,2023-07-12,2024-12-29,False
Renew library membership,High,Personal,2023-10-11,2024-11-11,True
Attend seminar,High,Work,2023-09-06,2024-07-27,True
Prepare presentation,Low,Work,2024-02-05,2024-10-09,False
Visit doctor,Low,Work,2024-11-01,2024-12-14,False
Attend seminar,Medium,Work,2023-05-02,2024-11-25,False
Send emails,Low,Work,2023-06-10,2024-07-20,True
Write report,Low,Work,2023-04-16,2024-07-05,True
Book flight tickets,Low,Work,2023-05-03,2024-03-16,False
Take stationary,Low,Work,2023-10-13,2023-12-03,True
Renew library membership,Low,Personal,2023-12-03,2024-08-09,False
Send emails,Low,Work,2024-02-22,2024-04-19,False
Join gym session,Low,Personal,2024-01-02,2024-09-12,False
Go to bank,High,Work,2024-03-23,2024-09-16,True
Join gym session,High,Personal,2023-09-16,2023-12-06,False
Attend seminar,Medium,Personal,2023-03-13,2023-11-17,False
Work on project,Medium,Personal,2023-10-30,2024-04-29,False
Read book,High,Personal,2023-06-07,2024-05-07,True
Visit doctor,High,Work,2023-12-26,2024-05-16,True
Visit doctor,High,Personal,2023-05-07,2024-12-03,True
Join gym session,High,Work,2023-04-04,2024-02-15,False
Schedule car service,High,Work,2023-08-17,2024-03-03,True
Join gym session,Low,Personal,2024-01-07,2024-07-14,False
Write report,Low,Personal,2023-10-06,2024-12-08,False
Take stationary,High,Work,2023-02-26,2024-05-15,False
Book flight tickets,Medium,Work,2024-05-03,2024-05-04,False
Organize desk,High,Personal,2023-07-18,2024-08-20,False
Go to bank,Low,Personal,2023-01-09,2024-03-12,False
Organize desk,High,Personal,2023-05-13,2024-11-01,False
Take stationary,Low,Work,2023-04-07,2023-09-13,True
Schedule car service,Low,Personal,2023-10-23,2024-03-24,True
Take stationary,Medium,Work,2023-10-27,2024-05-16,True
Send emails,Medium,Work,2023-01-14,2023-02-01,False
Go to school,High,Personal,2023-02-19,2023-10-14,False
Attend seminar,Medium,Work,2024-03-30,2024-09-20,True
Send emails,Low,Personal,2023-01-18,2023-02-05,True
Buy birthday gift,Low,Personal,2024-03-25,2024-04-16,False
Prepare presentation,High,Work,2023-10-11,2024-09-22,False
Call plumber,Medium,Work,2024-03-15,2024-09-05,False
Complete meeting,Medium,Personal,2023-01-22,2023-06-11,False
Go to bank,Medium,Personal,2023-09-25,2023-11-04,False
Renew library membership,Medium,Work,2023-02-10,2024-05-12,False
Attend seminar,Medium,Work,2023-08-26,2024-11-29,False
Work on project,Medium,Work,2023-01-03,2024-10-20,True
Prepare presentation,Low,Personal,2024-03-20,2024-06-25,False
Go to school,Low,Personal,2023-03-04,2023-10-01,False
Attend seminar,Medium,Personal,2023-07-18,2024-11-13,True
Take stationary,Medium,Work,2024-06-11,2024-10-05,False
Join gym session,Low,Work,2023-04-12,2024-09-23,True
Prepare presentation,Low,Work,2023-01-15,2024-03-21,False
Write report,High,Personal,2023-02-01,2024-08-26,True
Go to school,Medium,Personal,2023-07-10,2024-10-29,False
Visit doctor,Medium,Work,2023-01-02,2023-11-24,False
Go to bank,High,Work,2023-04-13,2024-08-26,True
Go to school,High,Work,2023-04-21,2023-07-09,False
Buy birthday gift,Medium,Work,2023-05-29,2023-07-20,True
Book flight tickets,High,Work,2023-01-22,2024-08-31,True
Take stationary,Low,Work,2024-03-04,2024-12-09,True
Call plumber,Medium,Personal,2023-01-24,2023-04-29,False
Organize desk,High,Work,2024-02-28,2024-04-25,False
Call plumber,Medium,Work,2023-11-25,2024-08-17,False
Join gym session,Medium,Personal,2023-09-14,2024-07-07,False
Renew library membership,Low,Personal,2023-04-13,2024-04-08,True
Go to school,Medium,Work,2023-04-04,2024-03-04,False
Schedule car service,High,Work,2023-04-28,2024-07-24,True
Plan weekend trip,Low,Work,2024-10-31,2024-12-08,False
Take stationary,Low,Personal,2023-07-27,2024-07-28,False
Write report,Low,Personal,2023-12-15,2024-06-03,True
Organize desk,Low,Work,2023-02-07,2023-09-22,True
Take stationary,Low,Work,2024-05-14,2024-12-08,False
Work on project,High,Personal,2024-04-23,2024-08-15,False
Send emails,High,Personal,2023-01-05,2024-03-18,True
Schedule car service,High,Work,2023-02-12,2024-08-07,False
Attend seminar,Medium,Work,2023-12-30,2024-07-13,False
Send emails,Low,Work,2023-02-28,2024-02-18,True
Work on project,Medium,Personal,2023-11-28,2024-10-18,False
Renew library membership,Medium,Work,2023-12-27,2024-07-03,True
Send emails,Low,Personal,2023-03-16,2023-08-28,False
Take stationary,Medium,Personal,2024-08-10,2024-09-02,False
Send emails,High,Personal,2023-02-20,2023-11-05,False
Schedule car service,High,Work,2024-03-28,2024-05-01,True
Send emails,Low,Personal,2023-06-23,2023-09-29,False
Renew library membership,Low,Work,2023-02-06,2024-11-24,False
Buy birthday gift,Medium,Personal,2023-09-06,2024-04-01,False
Schedule car service,Medium,Personal,2023-07-03,2024-11-30,True
Go to school,Low,Work,2023-08-25,2024-12-19,True
Organize desk,Low,Work,2023-05-29,2023-10-23,True
Write report,High,Personal,2024-04-09,2024-05-05,False
Book flight tickets,Low,Personal,2023-05-22,2024-04-09,True
Go to school,High,Personal,2023-09-03,2024-01-12,True
Attend seminar,Low,Work,2023-05-06,2023-07-19,False
Send emails,Low,Personal,2023-01-08,2024-06-16,False
Renew library membership,High,Personal,2024-04-27,2024-10-18,True
Go to bank,High,Personal,2023-03-23,2024-10-18,True
Renew library membership,High,Personal,2023-04-01,2024-06-01,True
Work on project,Medium,Work,2024-05-11,2024-08-17,False
Work on project,High,Personal,2023-07-27,2024-03-23,True
Call plumber,High,Work,2024-12-28,2024-12-29,False
Buy birthday gift,High,Personal,2023-04-01,2024-05-05,False
Plan weekend trip,High,Personal,2024-11-25,2024-12-15,True
Send emails,High,Personal,2023-11-10,2024-04-13,False
Join gym session,Medium,Personal,2023-01-04,2023-01-13,True
Join gym session,Medium,Personal,2023-06-28,2024-02-13,False
Plan weekend trip,High,Personal,2023-03-16,2023-06-10,False
Plan weekend trip,Low,Work,2023-12-31,2024-01-24,True
Take stationary,High,Personal,2023-07-10,2023-09-15,True
Work on project,Medium,Work,2023-08-17,2024-04-25,False
Send emails,High,Personal,2023-05-03,2024-04-28,False
Go to bank,Low,Work,2023-05-13,2023-06-12,True
Plan weekend trip,Medium,Personal,2024-12-08,2024-12-21,False
Attend seminar,Low,Personal,2023-02-11,2023-04-19,True
Book flight tickets,Low,Personal,2024-06-12,2024-06-13,True
Join gym session,Medium,Work,2023-09-07,2024-12-02,True
Send emails,High,Personal,2023-11-20,2024-08-04,False
Renew library membership,High,Work,2024-03-24,2024-04-19,True
Renew library membership,Medium,Personal,2024-02-13,2024-04-09,True
Buy birthday gift,Low,Personal,2023-05-02,2024-10-27,True
Send emails,Medium,Personal,2023-10-13,2024-03-05,False
Send emails,High,Personal,2023-12-07,2024-11-22,True
Call plumber,High,Work,2024-06-28,2024-08-11,False
Buy birthday gift,Low,Personal,2024-07-13,2024-08-16,False
Work on project,Medium,Work,2023-12-14,2024-03-26,False
Renew library membership,Low,Work,2023-09-02,2024-08-25,True
Plan weekend trip,High,Personal,2023-10-26,2024-03-15,True
Send emails,High,Work,2023-09-01,2024-05-01,False
Schedule car service,Medium,Work,2023-12-11,2024-03-26,False
Go to bank,Medium,Personal,2023-06-30,2024-05-22,False
Write report,Low,Personal,2023-01-08,2023-04-28,False
Take groceries,Low,Work,2023-05-29,2024-03-31,True
Visit doctor,High,Work,2023-01-19,2024-04-20,True
Call plumber,Low,Work,2023-11-17,2023-12-05,False
Work on project,Medium,Personal,2023-01-17,2024-01-28,False
Call plumber,Medium,Work,2023-02-27,2024-11-29,False
Join gym session,Medium,Work,2023-08-23,2024-05-23,False
Complete meeting,High,Personal,2023-04-07,2024-12-05,False
Visit doctor,Medium,Work,2023-02-25,2024-10-18,False
Organize desk,Medium,Work,2023-02-10,2023-03-24,True
Send emails,Medium,Personal,2023-03-31,2023-04-17,True
Organize desk,Medium,Work,2023-09-04,2024-05-14,True
Go to bank,Low,Work,2023-06-11,2024-07-06,False
Join gym session,Medium,Work,2023-04-22,2023-08-10,False
Prepare presentation,Low,Work,2023-05-06,2023-07-15,False
Go to bank,High,Work,2023-04-09,2023-08-29,False
Plan weekend trip,Low,Work,2023-08-23,2024-07-27,False
Work on project,High,Personal,2023-03-19,2024-10-20,False
Go to school,Medium,Personal,2023-02-12,2023-12-17,True
Organize desk,Medium,Personal,2023-08-15,2024-05-07,True
Read book,Medium,Personal,2023-06-25,2024-11-25,True
Complete meeting,High,Personal,2023-05-25,2024-03-31,False
Go to school,Low,Work,2023-08-05,2023-10-24,True
Read book,Medium,Personal,2024-01-21,2024-12-19,True
Go to school,Low,Personal,2024-04-25,2024-07-12,False
Work on project,Low,Work,2023-01-26,2024-09-01,True
Prepare presentation,Medium,Work,2023-01-25,2023-10-29,False
Organize desk,High,Personal,2023-11-01,2024-09-04,False
Plan weekend trip,High,Personal,2024-07-11,2024-09-02,True
Complete meeting,Low,Personal,2023-03-04,2023-09-21,True
Book flight tickets,Medium,Work,2023-11-26,2024-06-11,True
Attend seminar,Low,Personal,2023-12-15,2024-12-19,True
Write report,Low,Personal,2023-02-24,2023-07-22,True
Send emails,Low,Work,2023-05-28,2023-06-01,True
Plan weekend trip,Low,Personal,2023-11-20,2024-06-27,True
Schedule car service,Low,Personal,2023-07-17,2024-01-23,True
Prepare presentation,High,Work,2024-03-12,2024-05-31,True
Call plumber,Medium,Personal,2024-03-12,2024-12-10,False
Schedule car service,Low,Personal,2023-02-04,2024-12-25,False
Attend seminar,Medium,Personal,2024-01-25,2024-05-23,True
Plan weekend trip,Medium,Work,2024-01-26,2024-07-01,True
Take stationary,Low,Personal,2023-10-27,2024-04-03,False
Go to bank,Medium,Personal,2024-09-21,2024-11-15,False
